datetime,temperature,rainfall,windspeed,humidity,is_raining,is_hot,is_cold,temp_bucket
2024-01-01 00:00:00,17.5,0.0,6.1,80,0,0,0,pleasant
2024-01-01 01:00:00,16.8,0.0,6.3,84,0,0,0,pleasant
2024-01-01 02:00:00,16.0,0.0,5.8,88,0,0,0,pleasant
2024-01-01 03:00:00,15.6,0.0,6.3,88,0,0,0,pleasant
2024-01-01 04:00:00,15.5,0.0,7.4,88,0,0,0,pleasant
2024-01-01 05:00:00,15.4,0.0,7.9,92,0,0,0,pleasant
2024-01-01 06:00:00,15.9,0.0,8.4,94,0,0,0,pleasant
2024-01-01 07:00:00,15.9,0.0,8.5,95,0,0,0,pleasant
2024-01-01 08:00:00,17.5,0.0,10.7,89,0,0,0,pleasant
2024-01-01 09:00:00,20.0,0.0,9.1,78,0,0,0,pleasant
2024-01-01 10:00:00,22.8,0.0,8.0,68,0,0,0,pleasant
2024-01-01 11:00:00,25.2,0.0,7.9,58,0,0,0,warm
2024-01-01 12:00:00,26.8,0.0,5.4,50,0,0,0,warm
2024-01-01 13:00:00,27.5,0.0,4.0,45,0,0,0,warm
2024-01-01 14:00:00,28.0,0.0,5.4,41,0,0,0,warm
2024-01-01 15:00:00,28.2,0.0,8.7,38,0,0,0,warm
2024-01-01 16:00:00,27.7,0.0,9.4,39,0,0,0,warm
2024-01-01 17:00:00,26.0,0.0,5.9,46,0,0,0,warm
2024-01-01 18:00:00,22.6,0.0,7.3,62,0,0,0,pleasant
2024-01-01 19:00:00,21.5,0.0,6.3,68,0,0,0,pleasant
2024-01-01 20:00:00,21.0,0.0,9.0,71,0,0,0,pleasant
2024-01-01 21:00:00,20.2,0.0,8.4,75,0,0,0,pleasant
2024-01-01 22:00:00,19.2,0.0,7.2,78,0,0,0,pleasant
2024-01-01 23:00:00,18.5,0.0,7.9,80,0,0,0,pleasant
2024-01-02 00:00:00,17.8,0.0,7.1,82,0,0,0,pleasant
2024-01-02 01:00:00,17.0,0.0,6.9,87,0,0,0,pleasant
2024-01-02 02:00:00,16.6,0.0,7.4,91,0,0,0,pleasant
2024-01-02 03:00:00,16.4,0.0,7.9,93,0,0,0,pleasant
2024-01-02 04:00:00,16.1,0.0,8.4,93,0,0,0,pleasant
2024-01-02 05:00:00,15.9,0.0,8.7,93,0,0,0,pleasant
2024-01-02 06:00:00,16.3,0.0,11.0,94,0,0,0,pleasant
2024-01-02 07:00:00,16.1,0.0,10.7,94,0,0,0,pleasant
2024-01-02 08:00:00,17.5,0.0,11.5,87,0,0,0,pleasant
2024-01-02 09:00:00,19.9,0.0,11.5,77,0,0,0,pleasant
2024-01-02 10:00:00,22.5,0.0,10.6,68,0,0,0,pleasant
2024-01-02 11:00:00,24.5,0.0,9.0,61,0,0,0,pleasant
2024-01-02 12:00:00,26.0,0.0,6.9,57,0,0,0,warm
2024-01-02 13:00:00,27.1,0.0,6.2,51,0,0,0,warm
2024-01-02 14:00:00,27.8,0.0,8.8,46,0,0,0,warm
2024-01-02 15:00:00,27.9,0.0,10.8,43,0,0,0,warm
2024-01-02 16:00:00,27.5,0.0,11.4,43,0,0,0,warm
2024-01-02 17:00:00,26.2,0.0,10.0,47,0,0,0,warm
2024-01-02 18:00:00,22.6,0.0,9.0,61,0,0,0,pleasant
2024-01-02 19:00:00,21.6,0.0,9.9,63,0,0,0,pleasant
2024-01-02 20:00:00,20.4,0.0,8.4,67,0,0,0,pleasant
2024-01-02 21:00:00,19.5,0.0,8.4,71,0,0,0,pleasant
2024-01-02 22:00:00,18.5,0.0,7.9,74,0,0,0,pleasant
2024-01-02 23:00:00,17.8,0.0,7.8,77,0,0,0,pleasant
2024-01-03 00:00:00,17.2,0.0,8.6,78,0,0,0,pleasant
2024-01-03 01:00:00,16.2,0.0,7.8,79,0,0,0,pleasant
2024-01-03 02:00:00,15.4,0.0,6.1,82,0,0,0,pleasant
2024-01-03 03:00:00,15.1,0.0,8.1,84,0,0,0,pleasant
2024-01-03 04:00:00,14.9,0.0,8.2,89,0,0,1,cold
2024-01-03 05:00:00,15.1,0.0,8.4,94,0,0,0,pleasant
2024-01-03 06:00:00,15.6,0.0,9.7,96,0,0,0,pleasant
2024-01-03 07:00:00,15.4,0.0,8.7,96,0,0,0,pleasant
2024-01-03 08:00:00,16.8,0.0,10.7,90,0,0,0,pleasant
2024-01-03 09:00:00,19.1,0.0,10.1,79,0,0,0,pleasant
2024-01-03 10:00:00,21.6,0.0,10.1,70,0,0,0,pleasant
2024-01-03 11:00:00,23.8,0.0,10.0,62,0,0,0,pleasant
2024-01-03 12:00:00,25.4,0.0,10.5,52,0,0,0,warm
2024-01-03 13:00:00,26.3,0.0,11.8,44,0,0,0,warm
2024-01-03 14:00:00,26.8,0.0,12.3,40,0,0,0,warm
2024-01-03 15:00:00,26.9,0.0,11.9,38,0,0,0,warm
2024-01-03 16:00:00,26.5,0.0,12.1,36,0,0,0,warm
2024-01-03 17:00:00,24.9,0.0,8.6,40,0,0,0,pleasant
2024-01-03 18:00:00,21.3,0.0,8.3,51,0,0,0,pleasant
2024-01-03 19:00:00,20.4,0.0,10.1,50,0,0,0,pleasant
2024-01-03 20:00:00,19.1,0.0,8.0,54,0,0,0,pleasant
2024-01-03 21:00:00,17.5,0.0,7.0,63,0,0,0,pleasant
2024-01-03 22:00:00,16.7,0.0,7.7,69,0,0,0,pleasant
2024-01-03 23:00:00,16.1,0.0,8.5,75,0,0,0,pleasant
2024-01-04 00:00:00,15.9,0.0,10.0,79,0,0,0,pleasant
2024-01-04 01:00:00,15.6,0.0,10.8,80,0,0,0,pleasant
2024-01-04 02:00:00,15.4,0.0,11.1,80,0,0,0,pleasant
2024-01-04 03:00:00,15.1,0.0,12.0,82,0,0,0,pleasant
2024-01-04 04:00:00,14.8,0.0,12.0,85,0,0,1,cold
2024-01-04 05:00:00,14.5,0.0,11.8,87,0,0,1,cold
2024-01-04 06:00:00,14.7,0.0,13.1,89,0,0,1,cold
2024-01-04 07:00:00,14.4,0.0,13.0,90,0,0,1,cold
2024-01-04 08:00:00,15.9,0.0,14.7,83,0,0,0,pleasant
2024-01-04 09:00:00,18.1,0.0,13.4,73,0,0,0,pleasant
2024-01-04 10:00:00,20.6,0.0,12.0,65,0,0,0,pleasant
2024-01-04 11:00:00,22.8,0.0,11.8,59,0,0,0,pleasant
2024-01-04 12:00:00,24.5,0.0,11.2,54,0,0,0,pleasant
2024-01-04 13:00:00,25.7,0.0,11.5,44,0,0,0,warm
2024-01-04 14:00:00,26.3,0.0,12.6,36,0,0,0,warm
2024-01-04 15:00:00,26.4,0.0,13.0,33,0,0,0,warm
2024-01-04 16:00:00,25.9,0.0,12.5,32,0,0,0,warm
2024-01-04 17:00:00,23.9,0.0,6.5,39,0,0,0,pleasant
2024-01-04 18:00:00,19.9,0.0,7.0,52,0,0,0,pleasant
2024-01-04 19:00:00,18.8,0.0,8.4,55,0,0,0,pleasant
2024-01-04 20:00:00,17.9,0.0,8.0,59,0,0,0,pleasant
2024-01-04 21:00:00,16.5,0.0,7.2,63,0,0,0,pleasant
2024-01-04 22:00:00,15.6,0.0,7.1,69,0,0,0,pleasant
2024-01-04 23:00:00,15.1,0.0,7.9,76,0,0,0,pleasant
2024-01-05 00:00:00,15.0,0.0,8.9,78,0,0,0,cold
2024-01-05 01:00:00,14.6,0.0,8.7,79,0,0,1,cold
2024-01-05 02:00:00,14.2,0.0,9.4,80,0,0,1,cold
2024-01-05 03:00:00,14.0,0.0,9.4,81,0,0,1,cold
2024-01-05 04:00:00,13.8,0.0,9.9,83,0,0,1,cold
2024-01-05 05:00:00,13.6,0.0,9.7,85,0,0,1,cold
2024-01-05 06:00:00,13.9,0.0,10.7,91,0,0,1,cold
2024-01-05 07:00:00,13.8,0.0,11.0,91,0,0,1,cold
2024-01-05 08:00:00,15.4,0.0,13.0,84,0,0,0,pleasant
2024-01-05 09:00:00,17.8,0.0,11.5,73,0,0,0,pleasant
2024-01-05 10:00:00,20.3,0.0,11.1,66,0,0,0,pleasant
2024-01-05 11:00:00,22.5,0.0,10.5,61,0,0,0,pleasant
2024-01-05 12:00:00,24.0,0.0,9.5,56,0,0,0,pleasant
2024-01-05 13:00:00,25.1,0.0,8.7,49,0,0,0,warm
2024-01-05 14:00:00,25.7,0.0,9.3,43,0,0,0,warm
2024-01-05 15:00:00,25.9,0.0,10.0,42,0,0,0,warm
